Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
AH Terra Plantaardige kokosdrink,1.89,NA,"Vegetarisch, vegan en plantaardig",Plantaardige zuivel alternatieven,Plantaardige drinks,Kokosdrink,NA,NA,24,3.9,2,NA,0.9,0.9,0,0.1,0,0.08
AH Terra Plantaardige sojadrink ongezoet,0.89,NA,"Vegetarisch, vegan en plantaardig",Plantaardige zuivel alternatieven,Plantaardige drinks,Sojadrink,NA,NA,36,0.9,0.6,NA,1.9,0.3,1.6,3.5,0.8,0.1
AH Terra Plantaardige amandeldrink ongezoet,1.65,NA,"Vegetarisch, vegan en plantaardig",Plantaardige zuivel alternatieven,Plantaardige drinks,"Amandel, cashewdrink",NA,NA,13,0,0,NA,1.1,0.1,1,0.5,0.3,0.13
AH Lava cakes chocolade,2.39,NA,Bakkerij,Gebak en taart,Stuks gebak,Gebakje (diepvries),NA,NA,382,40,35,NA,21,9.5,12,6.5,3.4,0.13
AH Excellent Mini donuts goud,0.39,NA,Bakkerij,Zoete snacks,Donuts,NA,NA,NA,409,44,18,NA,22,13,9,7.8,2,0.98
AH Citroen,1.29,NA,"Aardappel, groente, fruit",Fruit,"Citroen, limoen",Citroenen,Verse citroenen,NA,22,3,2,NA,0.3,0.1,0.2,0.8,2,0
Princes Ansjovisfilets in zonnebloemolie,1.99,NA,"Vlees, vis",Vis,Visconserven,Ansjovis (conserven),NA,NA,182,0,0,NA,10,1.2,NA,23,NA,16
Pampeano Corned beef,3.75,NA,"Soepen, sauzen, kruiden, olie",Conserven,Vleesconserven,Corned beef (conserven),NA,NA,226,1,0.9,NA,15,7.4,NA,22,NA,2.3
AH Excellent Profiterole kerstkrans,9.99,NA,Bakkerij,Gebak en taart,Schnitten en sloffen,NA,NA,NA,345,36,32,NA,21,17,3.9,2.7,0.5,0.15
AH Excellent Tiramisu schnitte,6.99,NA,Bakkerij,Gebak en taart,"Pasen gebak, cake en donuts",NA,NA,NA,333,34,23,NA,19,13,6,5.6,0.9,0.55
Tête de moine AOP 50+ rosetten,4.99,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,Kaasplankjes,NA,NA,415,0,0,NA,35,22,NA,25,NA,1.9
AH Excellent Fuet manchego,2.19,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren vers,Spaanse en Italiaanse vleeswaren (versafdeling),NA,NA,462,3,2,NA,38,16,22,27,0,4.25
AH Excellent Spianata picante,1.99,NA,Ontbijtgranen en beleg,Vleeswaren beleg,Vleeswaren (portieverpakking),NA,NA,NA,374,1,1,NA,30,11,19,25,0,4.2
AH Excellent Antipasto schotel,7.99,5.99,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren vers,Spaanse en Italiaanse vleeswaren (versafdeling),NA,NA,290,0.6,0.3,NA,20,6.9,0.3,27,0,4.5
AH Grapefruits rood,2.99,NA,"Aardappel, groente, fruit",Fruit,"Grapefruit, minneola",Grapefruits,Verse grapefruits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pick Up! Choco & milk,2.39,NA,NA,NA,NA,NA,NA,NA,516,61,34,NA,27,17,NA,6.3,2.1,0.5
Pick Up! Original,2.39,NA,NA,NA,NA,NA,NA,NA,511,61,35,NA,26,15,NA,6.9,2.8,0.49
Jules Destrooper Choc & croc almond thin pieces,3.25,NA,NA,NA,NA,NA,NA,NA,500,63,43,NA,24,14,NA,7.3,NA,0.63
Verkade Nobo sprits speculaas,1.75,NA,"Snoep, chocolade, koek",Koek,Alledaagse koeken,NA,NA,NA,527,61.7,26.9,NA,28.8,14.8,NA,4.6,1.5,0.87
Balconi Wafers hazelnut,1.09,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,511,64,29,NA,25,20,NA,3,NA,0.33
La Mere Poulard Caramel butter biscuits,1.99,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,499,68.8,22.7,NA,22,14.1,NA,6.5,NA,0.54
La Mere Poulard Citron lemon French shortbread,1.99,NA,"Snoep, chocolade, koek",Koek,Alledaagse koeken,NA,NA,NA,491,66.2,23.1,NA,22.8,15.8,NA,6.2,NA,0.37
Mentos Gum White sweet mint,4.89,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,170,68,0,NA,0,0,NA,0,NA,0.03
Napoleon Cola,1.99,NA,"Snoep, chocolade, koek",Snoep,Harde snoep,Zuurtjes,NA,NA,384,95,69,NA,0,0,NA,0,NA,0
Sportlife Peppermint sugar free gums,4.59,2.99,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,179,70,0,NA,0.8,0.6,NA,0,NA,0
Trolli Kiss,1.59,NA,"Snoep, chocolade, koek",Trakteren,Mini snoepjes,NA,NA,NA,345,80,52,NA,0,0,NA,4.8,NA,0.2
Mentos Gum Pure fresh freshmint,5.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,183,73,0,NA,0.2,0.2,NA,0,NA,0.03
Mentos Gum Pure fresh strawberry,5.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (fruit),NA,NA,192,71,0,NA,1,1,NA,0,NA,0.05
