Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
AH Kippenragout,1.59,NA,"Vlees, vis","Rookworst, ragout",Ragout,NA,NA,NA,87,7.3,0.5,NA,4.2,0.6,3.5,4.6,0.4,1
Campina Biologisch volle boeren yoghurt,1.89,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt naturel,Volle yoghurt,NA,69,5,5,NA,3.1,2.2,NA,4.4,NA,0.16
AH Ontbijtspek,3.25,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren voorverpakt,Spek en bacon plakken (voorverpakt),NA,NA,272,0.5,0.5,NA,22,8,14,18,0,2.5
AH Smeuïge pindakaas met stukjes pinda,2.59,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Vegetarische pindakaas,NA,NA,NA,636,13,8.5,NA,54,9.5,45,21,7,0.63
AH Smeuïge pindakaas,2.55,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Vegetarische pindakaas,NA,NA,NA,644,14,8.9,NA,55,9.7,45,20,6.7,0.7
AH Rinse appelstroop,1.09,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Stroop,"Appelstroop, perenstroop",NA,NA,287,67,57,NA,0.2,0,0.2,2,4.5,0.1
AH Hagelslag mix,2.25,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,449,76,68,NA,14,8.2,5.7,3.1,3.5,0
AH Hagelslag melk,2.25,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,457,67,65,NA,17,9.8,6.8,6.8,4.5,0.15
AH Hagelslag puur,2.29,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,446,67,64,NA,16,9.2,6.7,5.2,6.8,0.03
AH Frans stokbrood,1.19,NA,Bakkerij,Afbakbrood,Stokbrood en ciabatta,NA,NA,NA,255,52,2,NA,0.9,0.2,0.7,8.5,2.3,1.08
AH Partymix,1.99,NA,Bakkerij,Afbakbrood,Afbakbroodjes mix,NA,NA,NA,198,19,2.5,NA,9.1,5.6,3.5,8.9,2.4,1.1
AH Beschuit naturel,0.59,NA,Ontbijtgranen en beleg,Beschuiten,Beschuit,NA,NA,NA,420,76,8.2,NA,5.2,1.5,2.8,15,4.4,0.43
AH Beschuit volkoren,0.59,NA,Ontbijtgranen en beleg,Beschuiten,Beschuit,NA,NA,NA,405,64,6.5,NA,6.5,1.9,3.6,18,9,0.48
AH Roomboter croissants,1.29,NA,Bakkerij,"Bolletjes, broodjes, croissants",Croissants,NA,NA,NA,403,45,5.9,NA,21,14,7.1,7.3,2.2,0.95
Crodino Biondo 6-pack,10.39,NA,Wijn en bubbels,"Alcoholvrije wijn, bubbels",Alcoholvrije aperitieven,NA,NA,NA,61,15,15,NA,0,0,NA,0,NA,0.01
Pickwick Earl grey zwarte thee meerkops,1.99,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee meerkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nescafé Espresso original oploskoffie,3.19,NA,"Koffie, thee",Koffie,Oploskoffie,Oploskoffie (regular),NA,NA,118,3.1,3.1,NA,0.2,0.1,NA,7.8,34.1,0.25
John West Wilde roze zalm,4.29,NA,"Vlees, vis",Vis,Visconserven,Zalm (conserven),NA,NA,131,0,0,NA,5.4,1.1,NA,20.4,NA,0.9
John West Wilde rode zalm,4.19,NA,"Vlees, vis",Vis,Visconserven,Zalm (conserven),NA,NA,151,0,0,NA,7.8,1.6,NA,20.4,NA,0.9
Libresse Ultra regular+ wing maandverband,2.79,NA,Drogisterij,Lichaamsverzorging,Persoonlijke hygiëne,Maandverband,Maandverband (dag),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libresse Maxi normal wing maandverband,2.79,NA,Drogisterij,Lichaamsverzorging,Persoonlijke hygiëne,Maandverband,Maandverband (dag),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libresse Ultra long+ wing maandverband,2.79,NA,Drogisterij,Lichaamsverzorging,Persoonlijke hygiëne,Maandverband,Maandverband (dag),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ola Raket,2.99,NA,Diepvries,IJs,Waterijsjes,NA,NA,NA,76,18,17,NA,0.5,0.1,NA,0.5,NA,0.01
Heinz Tomaten ketchup,2.19,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Ketchup,NA,NA,102,23.2,22.8,NA,0.1,0,NA,1.2,NA,1.8
Friesche Vlag Balance,1.89,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,63,4.6,4.6,NA,0,0,NA,10.6,NA,0.1
Douwe Egberts Mildcafe snelfiltermaling,4.59,NA,"Koffie, thee",Koffie,Snelfilterkoffie,Snelfilterkoffie (regular),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danio Luchtige kwark bosbes,1.79,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),Kwark tussendoortjes,NA,NA,NA,118,15,14.2,NA,4.1,2.7,NA,4.7,NA,0.13
Port Salut 50+,3.99,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,"Rode korst kaas, port salut",NA,NA,327,0,0,NA,27,18,NA,21,NA,1.6
Paturain Knoflook,2.09,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,348,2.3,2.3,NA,34.5,24.5,NA,7,NA,1.1
Boursin Knoflook & fijne kruiden,1.99,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,396,3,2.5,NA,39,26,NA,8.5,NA,1.2
Boursin Knoflook & fijne kruiden,3.49,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,396,3,2.5,NA,39,26,NA,8.5,NA,1.2
Président Le brie,2.99,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,"Witte korst kaas, brie",NA,NA,347,0.5,0.5,NA,31,22,NA,17,NA,1.2
De Huisman Zaanse mosterd grof gemalen,1.39,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Mosterd,Mosterd (grof),NA,130,3.2,0.1,NA,9,0,NA,6.5,4.7,3.7
Calvé Mayonaise,2.79,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Mayonaise,Mayonaise (in pot),NA,640,3.5,3.4,NA,69,5.5,NA,0.9,NA,0.88
Grand' Italia Sugocasa erbe pastasaus,2.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,Pastasauzen,Pastasaus in pot,NA,NA,37,6.8,2.6,NA,0.2,0,NA,1.6,0.9,0.62
Grand' Italia Sugocasa tradizionale pastasaus,2.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,Pastasauzen,Pastasaus in pot,NA,NA,36,6.5,2.3,NA,0.2,0,NA,1.5,0.9,0.53
Grand' Italia Farfalle tradizionali,1.99,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Farfalle, schelpjes, orecchiette",Farfalle,NA,357,72,3.2,NA,1.3,0.3,NA,13,2.5,0
Grand' Italia Penne tradizionali,1.99,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Penne, rigatoni",Penne,NA,357,72,3.2,NA,1.3,0.3,NA,13,2.5,0
Grand' Italia Pipe rigate tradizionali,1.99,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Farfalle, schelpjes, orecchiette","Schelpjes, conchigliette, orecchiette",NA,357,72,3.2,NA,1.3,0.3,NA,13,2.5,0
Grand' Italia Fusilli tradizionali,1.99,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Fusilli, casareccia",NA,NA,357,72,3.2,NA,1.3,0.3,NA,13,2.5,0
Grand' Italia Spaghetti tradizionali,1.89,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Spaghetti, linguine",Spaghetti,NA,357,72,3.2,NA,1.3,0.3,NA,13,2.5,0
Grand' Italia Tagliatelle all'uovo,3.49,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,"Tagliatelle, pappardelle",Tagliatelle,NA,367,69,3,NA,3.4,1,NA,13,4,0.07
Honig Basis voor lasagnesaus,1.99,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Italiaanse mix,NA,NA,332,66,13,NA,2.4,0.3,NA,8.9,4.2,5.9
Honig Basis voor nasi speciaal,1.99,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Indonesische mix,NA,NA,281,47,20,NA,3.7,0.4,NA,11,10,16.9
Zonnatura Wortelsap,2.69,NA,"Frisdrank, sappen, siropen, water","Verse sappen, smoothies",Groentesappen,Wortelsap,NA,NA,30,6.4,6.4,NA,0,0,NA,0.5,0.4,0.14
Conimex Mix voor nasi,0.99,NA,"Soepen, sauzen, kruiden, olie",Kruiden,Maaltijd Kruidenmixen,NA,NA,NA,115,17,0.9,NA,2.6,0.5,NA,5.6,0.9,0.31
Grand' Italia Lasagne tradizionali,2.49,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,Lasagnebladen,NA,NA,341,71,3.2,NA,1.3,0.3,NA,11,2.7,0
AH Tomatenpuree,0.49,NA,"Pasta, rijst en wereldkeuken",Mediterrane keuken,Italiaanse keuken,Tomaten producten,Tomatenpuree,NA,89,15,15,NA,0.3,0.1,0.2,4.8,3.6,0.2
Knorr Croutons peterselie,1.09,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soepverrijking,Soepcroutons,NA,NA,555,50,2,NA,35,17,NA,8,4,1.2
Van Gilse Mini suikerklontjes,1.49,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,Suiker,Suiker en zoetstof (staafjes),Suikerklontjes en staafjes,NA,400,100,100,NA,0,0,NA,0,NA,0
Melitta Original koffiefilters 1x4 bruin,2.75,NA,"Koffie, thee",Koffie,Koffieverrijkers,"Koffiefilters, suiker",Koffiefilter en overige,Koffiefilters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pickwick Ceylon zwarte thee meerkops,1.99,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee meerkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonne Maman Abrikozen confiture,3.29,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Jam en marmelade,Abrikozenjam,NA,NA,241,59,59,NA,0.1,0,NA,0.5,1.1,0
Bonne Maman Pruimen confiture,3.29,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Jam en marmelade,Pruimenjam,NA,NA,241,59,59,NA,0.1,0,NA,0.4,1.3,0
Bonne Maman Aardbeien confiture,3.25,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Jam en marmelade,Aardbeienjam,NA,NA,241,59,59,NA,0.1,0,NA,0.4,1.2,0
Bonne Maman Kersen confiture,3.59,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Jam en marmelade,Kersenjam,NA,NA,243,59,59,NA,0.2,0,NA,0.7,1,0
Nutella Hazelnootpasta,3.59,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Hazelnoot- en chocoladepasta,Hazelnootpasta,NA,NA,539,57.5,56.3,NA,30.9,10.6,NA,6.3,NA,0.107
LU Mini crackers olijfolie & oregano,2.19,NA,Bakkerij,Crackers,Toast-crackers,NA,NA,NA,437,66,1.5,NA,13,2.9,NA,11,4,2.78
Campina Echte slagroom,1.99,NA,"Zuivel, eieren, boter","Creme fraiche, slagroom, kookroom, kokosmelk",Slagroom,NA,NA,NA,304,11,11,NA,28,20,NA,2.2,NA,0.07
AH Roomboter gezouten,2.99,NA,"Zuivel, eieren, boter",Boter en margarine,Boter en margarine voor de keuken,Gezouten roomboter,NA,NA,725,0.6,0.6,NA,80,48,32,0.7,0,1
Chocomel Vol,2.29,NA,"Zuivel, eieren, boter",Chocolademelk,Chocolademelk (pakken),NA,NA,NA,87,12,11.8,NA,2.7,1.9,NA,3.2,NA,0.13
Chocomel Halfvol,2.49,NA,"Zuivel, eieren, boter",Chocolademelk,Chocolademelk (pakken),NA,NA,NA,70,9.8,9.7,NA,1.6,1.1,NA,3.5,NA,0.12
Chiarli 1860 Lambrusco rosso,2.29,NA,Wijn en bubbels,Rode wijn,Fruitige rode wijn,Overige rode wijn (Fruitig),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Goudse belegen 48+ plakken,3.39,NA,Ontbijtgranen en beleg,Kaas beleg,Belegen kaas broodbeleg,Belegen kaas (plakken),NA,NA,390,0,0,NA,32,21,10,25,0,2.2
AH Goudse extra belegen 48+ plakken,3.75,NA,Ontbijtgranen en beleg,Kaas beleg,Extra belegen kaas broodbeleg,Extra belegen kaas (plakken),NA,NA,401,0,0,NA,33,22,10,26,0,2.3
AH Goudse jong komijn 48+ plakken,3.15,NA,Ontbijtgranen en beleg,Kaas beleg,Plakken kaas,Gekruide kaas (plakken),NA,NA,362,0,0,NA,30,21,9.2,23,0,1.9
AH Goudse jong 48+ plakken,2.95,NA,Ontbijtgranen en beleg,Kaas beleg,Jonge kaas broodbeleg,Jonge kaas (plakken),NA,NA,360,0,0,NA,30,20,8.9,23,0,1.8
AH Goudse jong belegen 48+ plakken,3.09,NA,Ontbijtgranen en beleg,Kaas beleg,Jong belegen kaas broodbeleg,Jong belegen kaas (plakken),NA,NA,375,0,0,NA,31,21,9.4,24,0,2
AH Goudse oud 48+ plakken,4.15,NA,Ontbijtgranen en beleg,Kaas beleg,Oude kaas broodbeleg,Oude kaas (plakken),NA,NA,435,0,0,NA,36,24,11,28,0,2.5
Martini Bianco,8.99,6.74,Wijn en bubbels,"Port, sherry en vermouth",Vermouth,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martini Extra dry,8.99,6.74,Wijn en bubbels,"Port, sherry en vermouth",Vermouth,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martini Rosso,8.99,6.74,Wijn en bubbels,"Port, sherry en vermouth",Vermouth,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Domecq Sherry fino,6.49,NA,Bier en aperitieven,Aperitieven,Droge sherry,Spaanse sherry (droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandeman Sherry Fino,7.49,NA,Bier en aperitieven,Aperitieven,Droge sherry,Spaanse sherry (droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Domecq Sherry medium dry,6.49,NA,Wijn en bubbels,"Port, sherry en vermouth",Sherry,Half zoete sherry,Spaanse sherry (half zoet),NA,87,4.35,4.35,NA,0,0,NA,0,NA,0
Hertog Jan Natuurzuiver bier krat,19.99,NA,Bier en aperitieven,Bier,Pils,Pils - krat,NA,NA,41,3,0.1,NA,0,0,NA,0.4,NA,0.1
Amstel Pilsener bier krat,16.65,12.49,Bier en aperitieven,Bier,Pils,Pils - krat,NA,NA,41,3.1,0,NA,0,0,NA,0,NA,0
Grolsch Premium pilsner beugel krat,18.88,NA,Bier en aperitieven,Bier,Pils,Pils - krat,NA,NA,40,2.5,0,NA,0,0,NA,0.5,NA,0
DubbelDrank Sinaasappel & perzik,2.19,NA,"Frisdrank, sappen, siropen, water",Vruchtensappen en fruitdrank,Dubbeldrank,Dubbeldrank (pakken),NA,NA,49,11.2,11.1,NA,0,0,NA,0.3,0.3,0.002
Appelsientje Goudappeltje,2.79,NA,"Frisdrank, sappen, siropen, water",Vruchtensappen en fruitdrank,Appelsap & drank,Appelsap & drank (ongekoeld),NA,NA,44,10.3,9.9,NA,0,0,NA,0.1,NA,0.003
Appelsientje Zontomaatje,2.19,NA,"Frisdrank, sappen, siropen, water","Verse sappen, smoothies",Groentesappen,Tomatensap & drank,NA,NA,18,2.6,2.6,NA,0,0,NA,0.8,1.17,0.43
Appelsientje Sinaasappel,2.59,NA,"Frisdrank, sappen, siropen, water",Vruchtensappen en fruitdrank,Sinaasappelsap & drank (jus d'orange),Sinaasappelsap & drank  (ongekoeld),NA,NA,41,8.6,8.6,NA,0,0,NA,0.7,0.41,0.002
Spa Reine mineraalwater bel,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7up Zero lemon lime,2.35,NA,"Frisdrank, sappen, siropen, water",Frisdrank,"Lemon, lime","Lemon, lime dranken (fles)",NA,NA,1,0,0,NA,0,0,NA,0,NA,0.04
Coca-Cola Light,2.59,NA,"Frisdrank, sappen, siropen, water",Frisdrank,Cola,Cola flessen,Cola light & suikervrije flessen,NA,NA,0,0,NA,0,0,NA,0,NA,0
Coca-Cola Original taste,2.59,NA,"Frisdrank, sappen, siropen, water",Frisdrank,Cola,Cola flessen,Cola regular flessen,NA,42,10.6,10.6,NA,0,0,NA,0,NA,0
Fanta Orange,2.49,NA,"Frisdrank, sappen, siropen, water",Frisdrank,Sinas,Sinas (fles),NA,NA,23,5.6,5.6,NA,0,0,NA,0,NA,0.01
AH Haardblok,2.29,NA,"Koken, tafelen, vrije tijd","Wonen, slapen",Haardhout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Komo Huisvuilzakken 60 l,2.09,NA,Huishouden,"Huishoudfolies, huishoudzakken",Vuilniszakken,Vuilnisemmerzakken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Driehoek Vloeibare zeep,2.39,NA,Huishouden,Schoonmaakmiddelen,Vloeibare schoonmaakzeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Driehoek Zachte Zeep,4.29,NA,Huishouden,Schoonmaakmiddelen,Vloeibare schoonmaakzeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robijn Morgenfris droogtrommeldoekjes,3.89,NA,Huishouden,"Wasmiddelen, wasverzachters",Textielverfrissers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fa Caribbean wave deodorant spray,3.79,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deospray vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WC-Eend Wc eend nr. 1 ontkalker,2.85,NA,Huishouden,Schoonmaakmiddelen,Toiletreinigers,Toiletreiniger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fristi Rood fruit,1.89,NA,"Zuivel, eieren, boter",Drinkyoghurt,NA,NA,NA,NA,43,8,7.9,NA,0,0,NA,1.8,NA,0.12
Glade Langdurig lavender gel,1.59,NA,Huishouden,Toiletreinigers & verfrissers,Luchtverfrissers,Luchtverfrissers woonkamer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kotex Maxi normal,2.19,NA,Drogisterij,Lichaamsverzorging,Persoonlijke hygiëne,Maandverband,Maandverband (dag),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kips Leverworst,2.19,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren voorverpakt,"Kookworst, boterhamworst, leverworst (voorverpakt)",Leverworst en leverkaas (voorverpakt),NA,269,1.5,0.2,NA,23,8.8,NA,14,0.2,1.78
Zwitsal Baby crème zeep,2.49,NA,Baby en kind,Baby en kind verzorging,Baby handzeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Werther's Original Klassieke roomsnoepjes,1.99,NA,"Snoep, chocolade, koek",Snoep,"Toffee, fudge, nougat",Toffees,NA,NA,424,86.9,71.6,NA,8.4,5.7,NA,0.3,NA,1
Merci Finest selection,3.89,NA,"Snoep, chocolade, koek",Chocolade,Chocolade geschenken,NA,NA,NA,563,49.9,48,NA,36.1,19.9,NA,7.8,NA,0.17
LU Tuc original,0.79,NA,"Chips, noten, toast, popcorn",Zoutjes,Zoutjes-crackers,NA,NA,NA,479,67,7.1,NA,19,1.9,NA,8.4,2.4,1.7
Grand' Italia Grissini tradizionali soepstengels,1.69,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soepverrijking,Soepstengels,NA,NA,403,73,1.5,NA,6.4,1,NA,12,2.5,2
Honig Kruidenbuiltje vlees,1.39,NA,"Soepen, sauzen, kruiden, olie",Soepen,"Bouillon, fond",Vleesbouillon,Vleesbouillon (poeder),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honig Krulvermicelli middel,1.35,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,Vermicelli,NA,NA,350,72,3.5,NA,1.5,0.1,NA,11,2.5,0.03
Maggi Smaakverfijner,2.29,NA,"Soepen, sauzen, kruiden, olie",Smaakmakers,"Tafelsauzen, toevoegingen",Aroma,NA,NA,84,8,4.3,NA,0.1,0,NA,12,0,22.4
Honig Basis voor tomatensoep,1.55,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (zelf bereiden),Tomatensoep (zelf bereiden),NA,NA,328,64,20,NA,2.4,1,NA,9.3,4.7,10.4
Honig Basis voor groentesoep,1.55,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (zelf bereiden),Groentesoep (zelf bereiden),NA,NA,296,60,5.6,NA,1.6,0.2,NA,8.8,5.4,16.8
Honig Basis voor chinese tomatensoep,1.99,NA,"Soepen, sauzen, kruiden, olie",Soepen,Soep (zelf bereiden),Tomatensoep (zelf bereiden),NA,NA,340,74,32,NA,1.5,0.4,NA,6,2.5,10.3
AH Keukenzout met jodium,0.65,NA,"Soepen, sauzen, kruiden, olie",Smaakmakers,Zout,Zout (naturel),Zout (diverse),NA,0,0,0,NA,0,0,0,0,0,99.9
Tabasco Red peppersauce,2.99,NA,"Soepen, sauzen, kruiden, olie",Smaakmakers,"Tafelsauzen, toevoegingen","Tabasco, chilipepersaus",NA,NA,16,1.6,0,NA,0.7,0.2,NA,1,1.3,1.8
Heinz Tomaten ketchup,1.85,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Ketchup,NA,NA,102,23.2,22.8,NA,0.1,0,NA,1.2,NA,1.8
Maggi Jus rundvlees voordeel,2.69,NA,"Pasta, rijst en wereldkeuken",Hollandse keuken,Jus,Jus rundvlees,NA,NA,353,64.3,3.5,NA,6.4,3.2,NA,9.3,0.7,14.2
Koopmans Mix voor pannenkoeken origineel,1.09,NA,"Salades, pizza, maaltijden","Pannenkoeken, poffertjes",Pannenkoekenmix,Pannenkoekenmix (diverse),NA,NA,174,28,3.7,NA,3.8,1.1,NA,6.9,0.9,0.36
Honig Basis voor macaroni en spaghetti,1.99,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Italiaanse mix,NA,NA,284,51,29,NA,2.5,0.5,NA,8.8,10,15.8
Becel Olie brend met zonnebloemolie,4.99,NA,"Pasta, rijst en wereldkeuken",Olie en frituurvet,"Olie bakken, braden en wok",Zonnebloemolie,NA,NA,813,0,0,NA,92,8.7,NA,0,NA,0
Conimex Mix voor bami speciaal,1.49,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Indonesische mix,NA,NA,120,16,1.5,NA,2.8,0.7,NA,7.2,1.4,0.6
Conimex Mix voor nasi speciaal,1.49,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Indonesische mix,NA,NA,126,17,1.1,NA,3.4,0.9,NA,6.7,1.2,0.45
Honig Basis voor bami speciaal,1.99,NA,"Pasta, rijst en wereldkeuken","Maaltijdpakketten, mixen",Maaltijdmixen,Indonesische mix,NA,NA,282,47,17,NA,2.9,0.4,NA,14,11,18.7
Lassie Toverrijst,1.45,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Rijst,Witte rijst,NA,NA,353,79.6,0,NA,1,0.4,NA,5.8,1.1,0
Lassie Zilvervliesrijst kortkokend,1.45,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Rijst,Zilvervliesrijst,NA,NA,362,75.9,0.6,NA,2.7,0.8,NA,6.9,3,0
AH Krokante zalm in bladerdeeg spinazie,3.49,NA,"Vlees, vis",Vis,Diepvries vis,Zalm (diepvries),NA,NA,232,23,2.9,NA,11,5.8,5,9.7,1.1,0.78
AH Tomatenpuree,0.65,NA,"Pasta, rijst en wereldkeuken",Mediterrane keuken,Italiaanse keuken,Tomaten producten,Tomatenpuree,NA,89,15,15,NA,0.3,0.1,0.1,4.8,3.6,0.2
Bonduelle Crispy maïs,1.49,NA,"Aardappel, groente, fruit",Groente,"Asperges, bleekselderij, venkel, mais",Mais,Maiskorrels (conserven),NA,73,11,5.1,NA,1.4,0.2,NA,2.7,3,0.28
Langnese Bijenhoning goudhelder,5.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Honing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvé Pindakaas pot,3.19,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Vegetarische pindakaas,NA,NA,NA,664,11,6.4,NA,58,8.5,NA,21,6.6,0.55
Liga Cracotte crackers naturel,2.29,NA,Bakkerij,Crackers,Ontbijtcrackers,NA,NA,NA,388,79,8.8,NA,2.7,1,NA,10,3,1.65
LU Scholiertje puur,2.85,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,500,61,36,NA,25,16,NA,6.1,4.5,0.55
LU Bastogne original,1.65,NA,"Snoep, chocolade, koek",Koek,Alledaagse koeken,NA,NA,NA,485,71,40,NA,20,9.4,NA,4.7,2,0.8
Verkade Frou frou vanille,1.75,NA,"Snoep, chocolade, koek",Koek,"Stroopwafel, stroopkoek, wafels",Wafels,NA,NA,540,55.4,36.4,NA,33.8,26.6,NA,4.4,NA,0.2
Douwe Egberts Decafe cafeinevrij snelfiltermaling,7.89,NA,"Koffie, thee",Koffie,Snelfilterkoffie,Snelfilterkoffie (cafeïnevrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Becel Romig voor in de koffie cups,1.15,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,115,11,11,NA,4.4,0.5,NA,7.1,NA,0.31
Friesche Vlag Goudband,0.79,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,154,12.1,12.1,NA,8.1,5.2,NA,8.3,NA,0.36
Van Gilse Kristalsuiker,1.39,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,Suiker,Kristalsuiker,NA,NA,400,100,100,NA,0,0,NA,0,NA,0
Pickwick Earl grey zwarte thee,1.39,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee eenkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Suikerklontjes,1.69,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,Suiker,Suiker en zoetstof (staafjes),Suikerklontjes en staafjes,NA,400,100,100,NA,0,0,NA,0,0,0
Pickwick English blend 1 kop thee,1.19,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee eenkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
